Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Land Use (ha)
Africa (FAO),1973,366190460,221869,,,0.80539995,275485
Africa (FAO),1974,375910820,228463,,,0.77919996,293199
Africa (FAO),1975,385868160,249993,,,0.8107,308369
Africa (FAO),1976,396051500,282717,,,0.9009,313812
Africa (FAO),1977,406487260,266629,,,0.87119997,306054
Africa (FAO),1978,417267740,269049,,,0.83,324173
Africa (FAO),1979,428541400,309168,,,0.9651,320362
Africa (FAO),1980,440387700,307034,,,1.0116,303500
Africa (FAO),1981,452847140,243187,,,0.91709995,265163
Africa (FAO),1982,465865600,269491,,,0.9927,271484
Africa (FAO),1983,479365200,292459,,,0.9411,310762
Africa (FAO),1984,493208580,332365,,,1.0575,314297
Africa (FAO),1985,507294850,312744,,,0.9805,318975
Africa (FAO),1986,521607140,302461,,,0.97639996,309761
Africa (FAO),1987,536142820,309288,,,0.99429995,311061
Africa (FAO),1988,550874050,310518,,,1.0329,300614
Africa (FAO),1989,565780160,348796,,,1.1595,300811
Africa (FAO),1990,580821250,361252,,,1.1513,313766
Africa (FAO),1991,595983740,437031,,,1.2287999,355668
Africa (FAO),1992,611269600,485629,,,1.2330999,393836
Africa (FAO),1993,620328000,487756,,,1.175,415128
Africa (FAO),1994,635998000,415245,,,1.2696999,327054
Africa (FAO),1995,651920000,444894,,,1.3072,340350
Africa (FAO),1996,668132000,469037,,,1.2853999,364887
Africa (FAO),1997,684634000,508182,,,1.3194,385152
Africa (FAO),1998,701408000,520154,,,1.319,394353
Africa (FAO),1999,718424000,456692,,,1.135,402357
Africa (FAO),2000,735664000,489420,,,1.1783,415364
Africa (FAO),2001,753123000,444931,,,1.1545,385375
Africa (FAO),2002,770857000,436272,,,1.0953,398301
Africa (FAO),2003,788976000,436821,,,1.0956,398698
Africa (FAO),2004,807625000,455352,,,1.0375999,438866
Africa (FAO),2005,826909000,497922,,,1.076,462750
Africa (FAO),2006,846870000,445415,,,1.0055,442988
Africa (FAO),2007,867487000,497463,,,1.0854,458310
Africa (FAO),2008,888756000,596202,,,1.1076,538302
Africa (FAO),2009,910657000,657601,,,1.1445999,574542
Africa (FAO),2010,968893000,626223,,,1.0667,587077
Africa (FAO),2011,994150000,721226,,,1.0323,698652
Africa (FAO),2012,1056421000,612251,,,1.1065999,553269
Africa (FAO),2013,1084143000,667734,,,1.1091,602032
Africa (FAO),2014,1122411300,728601,,,1.1789,618048
Africa (FAO),2015,1151776000,617223,,,0.9982,618357
Africa (FAO),2016,1181768000,602540,,,1.1126,541579
Africa (FAO),2017,1212358000,521809,,,1.0016999,520913
Africa (FAO),2018,1243456400,691914,,,1.1925,580240
Africa (FAO),2019,1274963600,674009,,,1.1913999,565723
Africa (FAO),2020,,694424,,,1.1847,586136
Albania,1961,1769076,3152,0.001781721,1.7817211,0.27989998,11263
Albania,1962,1828234,10351,0.005661748,5.661748,0.4619,22412
Albania,1963,1888302,15981,0.008463159,8.463159,0.6242,25601
Albania,1964,1949020,13544,0.006949133,6.9491332,0.5555,24382
Albania,1965,2009793,13175,0.006555401,6.5554013,0.58959997,22346
Albania,1966,2070694,13662,0.006597788,6.597788,0.6619,20642
Albania,1967,2132447,13000,0.006096283,6.096283,0.66719997,19483
Albania,1968,2195474,10000,0.004554825,4.554825,0.53639996,18642
Albania,1969,2259797,10474,0.00463493,4.63493,0.55079997,19017
Albania,1970,2324733,12160,0.005230708,5.230708,0.677,17962
Albania,1971,2389820,12669,0.005301236,5.301236,0.7101,17840
Albania,1972,2455181,14000,0.005702227,5.7022274,0.73679996,19000
Albania,1973,2520442,15000,0.005951337,5.951337,0.8287,18100
Albania,1974,2585457,13800,0.005337548,5.3375475,0.7263,19000
Albania,1975,2650128,14000,0.005282764,5.282764,0.7,20000
Albania,1976,2713564,13000,0.004790748,4.7907475,0.5417,24000
Albania,1977,2774798,13000,0.004685026,4.6850257,0.5417,24000
Albania,1978,2833317,14000,0.004941205,4.941205,0.6364,22000
Albania,1979,2888764,19000,0.006577207,6.5772072,0.95,20000
Albania,1980,2941650,18000,0.006119015,6.1190147,0.87799996,20500
Albania,1981,2992391,17700,0.005915002,5.9150024,0.8271,21400
Albania,1982,3041188,17500,0.00575433,5.75433,0.8373,20900
Albania,1983,3087904,17500,0.005667275,5.667275,0.8373,20900
Albania,1984,3131731,19000,0.006066932,6.0669323,0.9048,21000
Albania,1985,3171727,20000,0.006305713,6.3057127,0.8696,23000
Albania,1986,3207129,24000,0.007483329,7.4833287,0.79999995,30000
Albania,1987,3237677,25000,0.007721586,7.7215857,0.7716,32400
Albania,1988,3263019,14000,0.004290505,4.2905053,0.4516,31000
Albania,1989,3282187,19000,0.005788823,5.788823,0.7037,27000
Albania,1990,3295073,14100,0.004279116,4.279116,0.5875,24000
Albania,1991,3302087,7000,0.002119872,2.1198716,0.6364,11000
Albania,1992,3303738,12495,0.00378208,3.7820796,0.9727,12846
Albania,1993,3300715,13488,0.004086387,4.0863873,1.0361999,13017
Albania,1994,3294001,3855,0.001170309,1.1703093,0.6002,6423
Albania,1995,3284370,5741,0.001747976,1.747976,0.92939997,6177
Albania,1996,3271336,6339,0.00193774,1.9377404,0.94229996,6727
Albania,1997,3253721,7854,0.002413852,2.4138517,1.0437,7525
Albania,1998,3232185,7399,0.002289163,2.2891634,1.0474,7064
Albania,1999,3208265,7300,0.002275373,2.275373,1.0896,6700
Albania,2000,3182027,6200,0.001948444,1.9484436,1.0877,5700
Albania,2001,3153615,3600,0.001141547,1.1415471,0.87799996,4100
Albania,2002,3123554,2600,0.000832385,0.83238515,1.1304,2300
Albania,2003,3092993,1416,0.000457809,0.457809,0.8624,1642
Albania,2004,3062629,2100,0.000685685,0.68568543,1.1053,1900
Albania,2005,3032636,1900,0.000626518,0.62651763,1.2666999,1500
Albania,2006,3003391,2000,0.000665914,0.665914,1.1111,1800
Albania,2007,2976089,900,0.00030241,0.3024103,0.75,1200
Albania,2008,2951690,1300,0.000440426,0.44042565,1.1818,1100
Albania,2009,2930553,1600,0.000545972,0.545972,1.3333,1200
Albania,2010,2913402,1700,0.00058351,0.58351026,1.4167,1200
Albania,2011,2900660,1900,0.000655023,0.6550233,1.6101999,1180
Albania,2012,2892191,2000,0.000691517,0.69151726,1.5385,1300
Albania,2013,2887019,2900,0.001004496,1.0044964,1.7059,1700
Albania,2014,2884100,3000,0.001040186,1.0401858,2,1500
Albania,2015,2882482,2200,0.000763231,0.76323113,1.8333,1200
Albania,2016,2881064,1980,0.000687246,0.6872461,1.7983999,1101
Albania,2017,2879361,1358,0.000471632,0.47163243,1.9825,685
Albania,2018,2877019,1693,0.000588456,0.58845634,1.6862999,1004
Albania,2019,2873883,1403,0.00048819,0.48818966,1.7299999,811
Albania,2020,2866850,1438,0.000501596,0.50159584,1.8995999,757
Algeria,1961,11598615,3000,0.000258652,0.25865156,0.3311,9060
Algeria,1962,11778265,5500,0.000466962,0.46696182,0.63949996,8600
Algeria,1963,11969449,7300,0.000609886,0.6098861,0.64599997,11300
Algeria,1964,12179097,9000,0.000738971,0.73897105,0.9,10000
Algeria,1965,12381262,3354,0.000270893,0.27089322,0.37269998,9000
Algeria,1966,12613398,4743,0.000376029,0.37602874,0.527,9000
Algeria,1967,12897121,6094,0.000472509,0.47250855,0.6771,9000
Algeria,1968,13190979,6135,0.000465091,0.46509056,0.6705,9150
Algeria,1969,13491022,5880,0.000435845,0.4358454,0.6106,9630
Algeria,1970,13795915,3862,0.000279938,0.27993793,0.5721,6750
Algeria,1971,14110269,4307,0.000305239,0.30523867,0.719,5990
Algeria,1972,14439750,3366,0.000233107,0.23310653,0.6613,5090
Algeria,1973,14786473,2564,0.000173402,0.17340173,0.7025,3650
Algeria,1974,15153601,2343,0.000154617,0.15461672,0.7583,3090
Algeria,1975,15724698,3358,0.000213549,0.21354941,1.101,3050
Algeria,1976,16500516,1933,0.000117148,0.11714785,0.9033,2140
Algeria,1977,17134196,2441,0.000142464,0.14246364,1.0753,2270
Algeria,1978,17632646,3254,0.000184544,0.18454406,0.6695,4860
Algeria,1979,18166982,2826,0.000155557,0.15555693,0.6843,4130
Algeria,1980,18739378,3282,0.000175139,0.17513921,0.7493,4380
Algeria,1981,19351356,4798,0.000247941,0.2479413,1.1158,4300
Algeria,1982,20000098,4470,0.000223499,0.22349891,1.1147,4010
Algeria,1983,20682110,3300,0.000159558,0.15955819,0.8418,3920
Algeria,1984,21393532,6339,0.000296305,0.2963045,1.3345,4750
Algeria,1985,22132910,4034,0.000182263,0.18226252,1.1659,3460
Algeria,1986,22882560,3947,0.000172489,0.17248944,1.0442,3780
Algeria,1987,23586098,4620,0.000195878,0.19587809,1.1725999,3940
Algeria,1988,24243024,3507,0.00014466,0.14466017,1.3593,2580
Algeria,1989,24889516,3527,0.000141706,0.14170624,1.2595999,2800
Algeria,1990,25518074,3578,0.000140214,0.14021434,1.2337999,2900
Algeria,1991,26133906,3358,0.000128492,0.12849209,1.2391,2710
Algeria,1992,26748302,6181,0.00023108,0.23108009,1.3525,4570
Algeria,1993,27354326,6877,0.000251404,0.25140448,1.0899,6310
Algeria,1994,27937006,3720,0.000133157,0.13315672,1.0164,3660
Algeria,1995,28478024,2790,9.79703E-05,0.09797028,1.0527999,2650
Algeria,1996,28984640,4045,0.000139557,0.13955668,1.0645,3800
Algeria,1997,29476030,8153,0.000276598,0.27659762,1.3213999,6170
Algeria,1998,29924664,6650,0.000222225,0.22222471,0.9072,7330
Algeria,1999,30346086,5597,0.000184439,0.18443895,0.98709995,5670
Algeria,2000,30774624,7153,0.000232432,0.23243176,1.109,6450
Algeria,2001,31200984,7776,0.000249223,0.2492229,1.2343,6300
Algeria,2002,31624700,5847,0.000184887,0.18488713,1.0807999,5410
Algeria,2003,32055882,5674,0.000177003,0.1770034,1.0586,5360
Algeria,2004,32510184,7600,0.000233773,0.2337729,1.3823,5498
Algeria,2005,32956690,6500,0.000197229,0.19722854,1.3273,4897
Algeria,2006,33435082,6889,0.000206041,0.20604106,1.3528999,5092
Algeria,2007,33983836,6043,0.00017782,0.17781983,1.3615999,4438
Algeria,2008,34569590,6374,0.000184382,0.1843817,1.4037,4541
Algeria,2009,35196040,7668,0.000217865,0.21786542,1.6676999,4598
Algeria,2010,35856348,7604,0.000212068,0.21206845,1.8023,4219
Algeria,2011,36543548,8281,0.000226606,0.22660635,1.8271999,4532
Algeria,2012,37260570,7630,0.000204774,0.20477411,1.839,4149
Algeria,2013,38000628,7918,0.000208365,0.20836497,1.9564999,4047
Algeria,2014,38760170,8707,0.000224638,0.22463783,1.9668,4427
Algeria,2015,39543148,8800,0.000222542,0.22254171,1.9520999,4508
Algeria,2016,40339330,9840,0.000243931,0.24393068,2.0672,4760
Algeria,2017,41136548,10292,0.000250191,0.25019114,2.1211998,4852
Algeria,2018,41927010,10686,0.000254872,0.25487153,2.0965,5097
Algeria,2019,42705372,15164,0.000355084,0.35508414,3.1657999,4790
Algeria,2020,43451668,11496,0.00026457,0.26456983,2.1780999,5278
Americas (FAO),1961,431161000,1473364,,,1.4882,990000
Americas (FAO),1962,440705000,1620508,,,1.5588,1039603
Americas (FAO),1963,450263000,1678446,,,1.6086999,1043355
Americas (FAO),1964,459775000,1582525,,,1.6273999,972445
Americas (FAO),1965,469199000,1441570,,,1.5159999,950883
Americas (FAO),1966,478512000,1462734,,,1.5424,948331
Americas (FAO),1967,487724000,1508083,,,1.5945,945782
Americas (FAO),1968,496894000,1420581,,,1.5180999,935759
Americas (FAO),1969,506098000,1469430,,,1.5885999,924979
Americas (FAO),1970,515395000,1505305,,,1.6577,908062
Americas (FAO),1971,524798000,1411303,,,1.6115999,875741
Americas (FAO),1972,534302000,1451089,,,1.5674,925797
Americas (FAO),1973,543919000,1476383,,,1.5684999,941290
Americas (FAO),1974,553660000,1696866,,,1.7041999,995693
Americas (FAO),1975,563532000,1772298,,,1.6847,1052015
Americas (FAO),1976,573555000,1777581,,,1.6686,1065292
Americas (FAO),1977,583721000,1712743,,,1.6166999,1059394
Americas (FAO),1978,594001000,1802651,,,1.6958,1063035
Americas (FAO),1979,604359000,1567610,,,1.5568999,1006878
Americas (FAO),1980,614772000,1658229,,,1.653,1003184
Americas (FAO),1981,625231000,1740602,,,1.7334,1004156
Americas (FAO),1982,635732000,1737750,,,1.7321,1003259
Americas (FAO),1983,646303000,1467155,,,1.5417,951635
Americas (FAO),1984,656960000,1599731,,,1.7801,898672
Americas (FAO),1985,667721000,1486117,,,1.7782999,835700
Americas (FAO),1986,678589000,1283831,,,1.6201999,792388
Americas (FAO),1987,689557000,1291879,,,1.6293,792885
Americas (FAO),1988,700603000,1412617,,,1.7801,793581
Americas (FAO),1989,711692000,1438507,,,1.7853999,805694
Americas (FAO),1990,722811000,1506779,,,1.8851,799311
Americas (FAO),1991,733917000,1530209,,,1.8283,836972
Americas (FAO),1992,745026000,1707426,,,1.888,904359
Americas (FAO),1993,756179000,1804139,,,1.9332,933237
Americas (FAO),1994,767446000,1590777,,,1.9704,807349
Americas (FAO),1995,778863000,1354798,,,1.7523999,773117
Americas (FAO),1996,790465000,1541660,,,1.8302,842360
Americas (FAO),1997,802185000,1808987,,,1.9618,922127
Americas (FAO),1998,813895000,1610756,,,1.7363,927670
Americas (FAO),1999,825400000,1602909,,,1.9022,842653
Americas (FAO),2000,836565000,1409253,,,1.9685999,715883
Americas (FAO),2001,847329000,1355496,,,1.9835,683369
Americas (FAO),2002,857747000,1416597,,,2.013,703713
Americas (FAO),2003,867893000,1346740,,,1.8342999,734217
Americas (FAO),2004,877910000,1690381,,,2.0616999,819906
Americas (FAO),2005,887906000,1548141,,,1.9243,804536
Americas (FAO),2006,897888000,1573459,,,1.9168999,820844
Americas (FAO),2007,907836000,1583837,,,2.0196,784251
Americas (FAO),2008,917757000,1513058,,,2.0377998,742512
Americas (FAO),2009,927639000,1537571,,,2.0345,755731
Americas (FAO),2010,932535000,1402400,,,1.8679999,750766
Americas (FAO),2011,942246000,1524977,,,2.0411,747142
Americas (FAO),2012,951843000,1431605,,,2.0413,701330
Americas (FAO),2013,961333000,1466344,,,2.0943,700159
Americas (FAO),2014,966820000,1564972,,,2.1634998,723361
Americas (FAO),2015,975789000,1469209,,,2.1520998,682673
Americas (FAO),2016,984581000,1215519,,,1.9243,631678
Americas (FAO),2017,993195000,1480442,,,2.218,667465
Americas (FAO),2018,1001646000,1271887,,,2.0716,613966
Americas (FAO),2019,1009951000,1256451,,,2.1306999,589696
Americas (FAO),2020,,1155574,,,2.0098999,574948
Angola,1961,5441328,1308,0.000240382,0.24038249,0.4041,3237
Angola,1962,5521405,1400,0.000253559,0.25355865,0.4944,2832
Angola,1963,5599831,2400,0.000428584,0.42858438,0.593,4047
Angola,1964,5673208,2739,0.000482796,0.4827956,0.6768,4047
Angola,1965,5736588,5829,0.001016109,1.0161093,0.8002,7284
Angola,1966,5787056,6950,0.001200956,1.2009561,0.78059995,8903
Angola,1967,5827502,6300,0.001081081,1.0810808,0.77849996,8093
Angola,1968,5868201,6804,0.00115947,1.1594695,0.7642,8903
Angola,1969,5928387,4378,0.000738481,0.7384808,0.8322,5261
Angola,1970,6029702,4120,0.000683284,0.6832842,0.63629997,6475
Angola,1971,6177053,4120,0.000666985,0.6669847,0.63629997,6475
Angola,1972,6364736,3970,0.000623749,0.62374934,0.654,6070
Angola,1973,6578237,3551,0.00053981,0.5398103,0.585,6070
Angola,1974,6802495,3032,0.000445719,0.44571882,0.49949998,6070
Angola,1975,7032728,6992,0.000994209,0.9942087,1.1462,6100
Angola,1976,7266788,6850,0.000942645,0.94264484,1.1417,6000
Angola,1977,7511898,3000,0.000399366,0.39936646,0.5,6000
Angola,1978,7771595,3000,0.000386021,0.38602116,0.5455,5500
Angola,1979,8043223,3000,0.000372985,0.3729848,0.59999996,5000
Angola,1980,8330053,3000,0.000360142,0.36014177,0.75,4000
Angola,1981,8631461,3000,0.000347566,0.3475657,0.85709995,3500
Angola,1982,8947154,3000,0.000335302,0.33530215,0.85709995,3500
Angola,1983,9276704,3000,0.000323391,0.32339073,0.85709995,3500
Angola,1984,9617709,3000,0.000311925,0.3119246,0.85709995,3500
Angola,1985,9970631,3000,0.000300884,0.30088366,0.85709995,3500
Angola,1986,10332577,3000,0.000290344,0.29034383,0.85709995,3500
Angola,1987,10694060,4000,0.000374039,0.37403943,0.8889,4500
Angola,1988,11060263,5000,0.000452069,0.4520688,0.9091,5500
Angola,1989,11439505,4000,0.000349665,0.34966547,0.8889,4500
Angola,1990,11828643,4000,0.000338162,0.3381622,1.0188,3926
Angola,1991,12228698,4000,0.000327099,0.3270994,0.8897,4496
Angola,1992,12632509,3000,0.000237483,0.23748251,0.85709995,3500
Angola,1993,13038277,4000,0.000306789,0.306789,0.9756,4100
Angola,1994,13462032,3751,0.000278636,0.2786355,0.9611,3903
Angola,1995,13912258,3900,0.000280328,0.28032833,0.9873,3950
Angola,1996,14383352,3900,0.000271147,0.2711468,0.9873,3950
Angola,1997,14871148,3900,0.000262253,0.26225278,0.9873,3950
Angola,1998,15366866,3300,0.000214748,0.21474775,0.97059995,3400
Angola,1999,15870759,3300,0.00020793,0.20792957,0.96889997,3406
Angola,2000,16394067,3300,0.000201292,0.20129234,0.968,3409
Angola,2001,16941584,3300,0.000194787,0.19478698,0.9429,3500
Angola,2002,17516140,3300,0.000188398,0.18839767,0.9694,3404
Angola,2003,18124346,3285,0.000181248,0.18124792,0.9859,3332
Angola,2004,18771128,3288,0.000175163,0.17516263,0.98709995,3331
Angola,2005,19450962,3273,0.000168269,0.16826931,0.9909,3303
Angola,2006,20162338,3238,0.000160596,0.16059645,0.99509996,3254
Angola,2007,20909692,3203,0.000153183,0.15318255,0.99909997,3206
Angola,2008,21691524,3169,0.000146094,0.14609392,1.0031999,3159
Angola,2009,22507674,3134,0.000139241,0.1392414,1.0071,3112
Angola,2010,23364196,3099,0.000132639,0.13263884,1.0110999,3065
Angola,2011,24259120,3065,0.000126344,0.12634424,1.0152,3019
Angola,2012,25188298,3030,0.000120294,0.12029395,1.0192,2973
Angola,2013,26147012,2995,0.000114545,0.11454464,1.0231999,2927
Angola,2014,27128340,2996,0.000110438,0.11043801,1.0215,2933
Angola,2015,28127724,3016,0.000107225,0.10722517,1.0238,2946
Angola,2016,29154742,2939,0.000100807,0.10080693,1.0239999,2870
Angola,2017,30208634,2934,9.71246E-05,0.09712455,1.028,2854
Angola,2018,31273538,2928,9.36255E-05,0.09362548,1.0277,2849
Angola,2019,32353592,2906,8.982E-05,0.08982001,1.0294,2823
Angola,2020,33428490,2885,8.63036E-05,0.086303626,1.0315,2797
Argentina,1961,20680658,48400,0.002340351,2.340351,1.0522,46000
Argentina,1962,21020364,47200,0.002245442,2.2454415,1.2356,38200
Argentina,1963,21364018,55000,0.002574422,2.5744222,1.3253,41500
Argentina,1964,21708488,48600,0.002238756,2.2387556,1.0995,44200
Argentina,1965,22053662,52500,0.002380557,2.3805571,1.096,47900
Argentina,1966,22403120,44700,0.001995258,1.9952578,0.93509996,47800
Argentina,1967,22757014,63000,0.002768377,2.7683773,1.0677999,59000
Argentina,1968,23112976,62000,0.002682476,2.6824758,1.058,58600
Argentina,1969,23472030,53500,0.002279309,2.2793086,0.99069995,54000
Argentina,1970,23842804,66000,0.002768131,2.7681307,0.95379996,69200
Argentina,1971,24223380,61700,0.002547126,2.547126,0.9536,64700
Argentina,1972,24612798,73600,0.002990314,2.9903143,1.076,68400
Argentina,1973,25020592,71000,0.002837663,2.8376626,0.9569,74200
Argentina,1974,25449752,97700,0.003838937,3.8389373,1.1715,83400
Argentina,1975,25875562,97800,0.003779628,3.779628,1.1151999,87700
Argentina,1976,26290258,94600,0.003598291,3.598291,1.1975,79000
Argentina,1977,26713780,90000,0.003369048,3.3690478,1.1999999,75000
Argentina,1978,27146124,63000,0.002320773,2.3207732,1.0160999,62000
Argentina,1979,27584138,70000,0.00253769,2.5376903,0.93329996,75000
Argentina,1980,28024808,62044,0.002213896,2.2138956,1.1099,55900
Argentina,1981,28471284,50889,0.00178738,1.7873798,1.0943999,46500
Argentina,1982,28922768,68677,0.002374496,2.374496,1.2441,55200
Argentina,1983,29377144,74254,0.002527611,2.5276113,1.2416999,59800
Argentina,1984,29832200,78301,0.002624714,2.6247143,1.2530999,62485
Argentina,1985,30287120,60243,0.001989063,1.9890633,1.1898999,50629
Argentina,1986,30748332,66361,0.002158198,2.1581983,1.3837999,47956
Argentina,1987,31216450,69765,0.002234879,2.2348794,1.3248999,52658
Argentina,1988,31690790,72235,0.002279369,2.279369,1.2942,55815
Argentina,1989,32165770,80459,0.002501386,2.5013858,1.5504,51896
Argentina,1990,32637658,67634,0.002072269,2.0722689,1.5396,43931
Argentina,1991,33105766,94504,0.002854609,2.8546085,1.6369,57732
Argentina,1992,33568280,109157,0.00325179,3.25179,1.541,70836
Argentina,1993,34027240,112305,0.003300444,3.300444,1.6383,68549
Argentina,1994,34488696,81957,0.002376344,2.3763438,1.6597999,49378
Argentina,1995,34946116,79011,0.002260938,2.260938,1.5855,49833
Argentina,1996,35389360,98201,0.002774874,2.7748735,1.7544999,55970
Argentina,1997,35815970,123206,0.003439974,3.439974,1.7681999,69677
Argentina,1998,36233196,116510,0.00321556,3.2155595,1.5130999,77001
Argentina,1999,36653030,113400,0.003093878,3.0938778,1.6626999,68201
Argentina,2000,37070772,114509,0.00308893,3.0889295,1.9209,59612
Argentina,2001,37480492,98110,0.002617628,2.6176283,1.7263999,56829
Argentina,2002,37885024,132437,0.003495761,3.4957612,2.007,65988
Argentina,2003,38278164,115837,0.00302619,3.02619,1.7630999,65702
Argentina,2004,38668796,157294,0.004067724,4.067724,2.0270998,77597
Argentina,2005,39070504,161064,0.004122394,4.1223937,1.9366,83169
Argentina,2006,39476856,144345,0.003656446,3.6564462,1.8445,78255
Argentina,2007,39876116,127740,0.003203421,3.2034214,1.7435,73267
Argentina,2008,40273770,130381,0.003237368,3.2373678,1.9316,67498
Argentina,2009,40684344,135531,0.003331282,3.3312815,1.8181,74546
Argentina,2010,41100124,132870,0.003232837,3.232837,1.9634,67674
Argentina,2011,41520736,135241,0.003257192,3.2571917,1.7861999,75715
Argentina,2012,41952364,115334,0.002749166,2.7491658,1.8212,63327
Argentina,2013,42388268,112348,0.00265045,2.6504504,1.7792,63146
Argentina,2014,42824064,127085,0.002967607,2.9676072,1.9347999,65683
Argentina,2015,43257064,109106,0.00252227,2.5222702,1.9768,55194
Argentina,2016,43668236,93671,0.00214506,2.1450603,2.1378999,43815
Argentina,2017,44054616,117154,0.00265929,2.65929,2.0437999,57321
Argentina,2018,44413590,104093,0.002343719,2.3437194,1.902,54728
Argentina,2019,44745516,107573,0.002404107,2.4041068,1.9691,54631
Argentina,2020,45036030,109333,0.002427678,2.4276783,2.0115,54355
