Entity,Code,Year,Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Income classifications (World Bank (2017)),Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Year
Angola,AGO,2014,6489,Upper-middle income,7511,2019
Angola,AGO,2015,6634,Upper-middle income,7511,2019
Angola,AGO,2016,6787,Lower-middle income,7511,2019
Angola,AGO,2017,7007,,7511,2019
Angola,AGO,2018,7243,,7511,2019
Angola,AGO,2019,7511,,7511,2019
Angola,AGO,1987,,Not categorized,7511,2019
Angola,AGO,1988,,Lower-middle income,7511,2019
Angola,AGO,1989,,Lower-middle income,7511,2019
Antigua and Barbuda,ATG,1990,24,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1991,25,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1992,25,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1993,27,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1994,27,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1995,27,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1996,25,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1997,25,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1998,25,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1999,25,Upper-middle income,37,2019
Antigua and Barbuda,ATG,2000,25,Upper-middle income,37,2019
Antigua and Barbuda,ATG,2001,25,Upper-middle income,37,2019
Antigua and Barbuda,ATG,2002,25,High income,37,2019
Antigua and Barbuda,ATG,2003,26,Upper-middle income,37,2019
Antigua and Barbuda,ATG,2004,26,Upper-middle income,37,2019
Antigua and Barbuda,ATG,2005,26,High income,37,2019
Antigua and Barbuda,ATG,2006,27,High income,37,2019
Antigua and Barbuda,ATG,2007,32,High income,37,2019
Antigua and Barbuda,ATG,2008,33,High income,37,2019
Antigua and Barbuda,ATG,2009,30,Upper-middle income,37,2019
Antigua and Barbuda,ATG,2010,30,Upper-middle income,37,2019
Antigua and Barbuda,ATG,2011,31,Upper-middle income,37,2019
Antigua and Barbuda,ATG,2012,31,High income,37,2019
Antigua and Barbuda,ATG,2013,31,High income,37,2019
Antigua and Barbuda,ATG,2014,32,High income,37,2019
Antigua and Barbuda,ATG,2015,33,High income,37,2019
Antigua and Barbuda,ATG,2016,34,High income,37,2019
Antigua and Barbuda,ATG,2017,35,,37,2019
Antigua and Barbuda,ATG,2018,36,,37,2019
Antigua and Barbuda,ATG,2019,37,,37,2019
Antigua and Barbuda,ATG,1987,,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1988,,Upper-middle income,37,2019
Antigua and Barbuda,ATG,1989,,Upper-middle income,37,2019
Argentina,ARG,1990,46415,Lower-middle income,51306,2019
Argentina,ARG,1991,45869,Upper-middle income,51306,2019
Argentina,ARG,1992,46216,Upper-middle income,51306,2019
Argentina,ARG,1993,45708,Upper-middle income,51306,2019
Argentina,ARG,1994,44885,Upper-middle income,51306,2019
Argentina,ARG,1995,45126,Upper-middle income,51306,2019
Argentina,ARG,1996,45556,Upper-middle income,51306,2019
Argentina,ARG,1997,45967,Upper-middle income,51306,2019
Argentina,ARG,1998,46526,Upper-middle income,51306,2019
Argentina,ARG,1999,46945,Upper-middle income,51306,2019
Argentina,ARG,2000,45673,Upper-middle income,51306,2019
Argentina,ARG,2001,45880,Upper-middle income,51306,2019
Argentina,ARG,2002,46722,Upper-middle income,51306,2019
Argentina,ARG,2003,47185,Upper-middle income,51306,2019
Argentina,ARG,2004,46319,Upper-middle income,51306,2019
Argentina,ARG,2005,45836,Upper-middle income,51306,2019
Argentina,ARG,2006,46026,Upper-middle income,51306,2019
Argentina,ARG,2007,47285,Upper-middle income,51306,2019
Argentina,ARG,2008,46398,Upper-middle income,51306,2019
Argentina,ARG,2009,46503,Upper-middle income,51306,2019
Argentina,ARG,2010,46971,Upper-middle income,51306,2019
Argentina,ARG,2011,47324,Upper-middle income,51306,2019
Argentina,ARG,2012,47485,Upper-middle income,51306,2019
Argentina,ARG,2013,47689,Upper-middle income,51306,2019
Argentina,ARG,2014,47575,High income,51306,2019
Argentina,ARG,2015,48531,Upper-middle income,51306,2019
Argentina,ARG,2016,50483,Upper-middle income,51306,2019
Argentina,ARG,2017,51077,,51306,2019
Argentina,ARG,2018,50863,,51306,2019
Argentina,ARG,2019,51306,,51306,2019
Argentina,ARG,1987,,Upper-middle income,51306,2019
Argentina,ARG,1988,,Upper-middle income,51306,2019
Argentina,ARG,1989,,Lower-middle income,51306,2019
Armenia,ARM,1990,4243,Upper-middle income,4864,2019
Armenia,ARM,1991,4532,Lower-middle income,4864,2019
Armenia,ARM,1992,4942,Lower-middle income,4864,2019
Armenia,ARM,1993,5167,Low income,4864,2019
Armenia,ARM,1994,4978,Low income,4864,2019
Armenia,ARM,1995,4927,Low income,4864,2019
Armenia,ARM,1996,4988,Low income,4864,2019
Armenia,ARM,1997,4793,Low income,4864,2019
Armenia,ARM,1998,4674,Low income,4864,2019
Armenia,ARM,1999,4759,Low income,4864,2019
Armenia,ARM,2000,4722,Low income,4864,2019
Armenia,ARM,2001,4839,Low income,4864,2019
Armenia,ARM,2002,4954,Lower-middle income,4864,2019
Armenia,ARM,2003,5014,Lower-middle income,4864,2019
Armenia,ARM,2004,4978,Lower-middle income,4864,2019
Armenia,ARM,2005,5060,Lower-middle income,4864,2019
Armenia,ARM,2006,5155,Lower-middle income,4864,2019
Armenia,ARM,2007,5053,Lower-middle income,4864,2019
Armenia,ARM,2008,5091,Lower-middle income,4864,2019
Armenia,ARM,2009,5044,Lower-middle income,4864,2019
Armenia,ARM,2010,4980,Lower-middle income,4864,2019
Armenia,ARM,2011,4955,Lower-middle income,4864,2019
Armenia,ARM,2012,4840,Lower-middle income,4864,2019
Armenia,ARM,2013,4686,Lower-middle income,4864,2019
Armenia,ARM,2014,4716,Lower-middle income,4864,2019
Armenia,ARM,2015,4798,Lower-middle income,4864,2019
Armenia,ARM,2016,4774,Lower-middle income,4864,2019
Armenia,ARM,2017,4807,,4864,2019
Armenia,ARM,2018,4829,,4864,2019
Armenia,ARM,2019,4864,,4864,2019
Armenia,ARM,1987,,Not categorized,4864,2019
Armenia,ARM,1988,,Not categorized,4864,2019
Armenia,ARM,1989,,Not categorized,4864,2019
Aruba,ABW,1987,,High income,,
Aruba,ABW,1988,,High income,,
Aruba,ABW,1989,,High income,,
Aruba,ABW,1990,,High income,,
Aruba,ABW,1991,,Upper-middle income,,
Aruba,ABW,1992,,Upper-middle income,,
Aruba,ABW,1993,,Upper-middle income,,
Aruba,ABW,1994,,High income,,
Aruba,ABW,1995,,High income,,
Aruba,ABW,1996,,High income,,
Aruba,ABW,1997,,High income,,
Aruba,ABW,1998,,High income,,
Aruba,ABW,1999,,High income,,
Aruba,ABW,2000,,High income,,
Aruba,ABW,2001,,High income,,
Aruba,ABW,2002,,High income,,
Aruba,ABW,2003,,High income,,
Aruba,ABW,2004,,High income,,
Aruba,ABW,2005,,High income,,
Aruba,ABW,2006,,High income,,
Aruba,ABW,2007,,High income,,
Aruba,ABW,2008,,High income,,
Aruba,ABW,2009,,High income,,
Aruba,ABW,2010,,High income,,
Aruba,ABW,2011,,High income,,
Aruba,ABW,2012,,High income,,
Aruba,ABW,2013,,High income,,
Aruba,ABW,2014,,High income,,
Aruba,ABW,2015,,High income,,
Aruba,ABW,2016,,High income,,
Australia,AUS,1990,24759,High income,18999,2019
Australia,AUS,1991,24211,High income,18999,2019
Australia,AUS,1992,24109,High income,18999,2019
Australia,AUS,1993,23651,High income,18999,2019
Australia,AUS,1994,23606,High income,18999,2019
Australia,AUS,1995,23090,High income,18999,2019
Australia,AUS,1996,22860,High income,18999,2019
Australia,AUS,1997,22294,High income,18999,2019
Australia,AUS,1998,21643,High income,18999,2019
Australia,AUS,1999,20985,High income,18999,2019
Australia,AUS,2000,20466,High income,18999,2019
Australia,AUS,2001,20046,High income,18999,2019
Australia,AUS,2002,19775,High income,18999,2019
Australia,AUS,2003,19199,High income,18999,2019
Australia,AUS,2004,18866,High income,18999,2019
Australia,AUS,2005,18455,High income,18999,2019
Australia,AUS,2006,18235,High income,18999,2019
Australia,AUS,2007,18373,High income,18999,2019
Australia,AUS,2008,18357,High income,18999,2019
Australia,AUS,2009,18062,High income,18999,2019
Australia,AUS,2010,17852,High income,18999,2019
Australia,AUS,2011,17884,High income,18999,2019
Australia,AUS,2012,17730,High income,18999,2019
Australia,AUS,2013,17766,High income,18999,2019
Australia,AUS,2014,18048,High income,18999,2019
Australia,AUS,2015,18188,High income,18999,2019
Australia,AUS,2016,18038,High income,18999,2019
Australia,AUS,2017,18236,,18999,2019
Australia,AUS,2018,18736,,18999,2019
Australia,AUS,2019,18999,,18999,2019
Australia,AUS,1987,,High income,18999,2019
Australia,AUS,1988,,High income,18999,2019
Australia,AUS,1989,,High income,18999,2019
Austria,AUT,1990,12730,High income,12314,2019
Austria,AUT,1991,12714,High income,12314,2019
Austria,AUT,1992,12619,High income,12314,2019
Austria,AUT,1993,12511,High income,12314,2019
Austria,AUT,1994,12296,High income,12314,2019
Austria,AUT,1995,12297,High income,12314,2019
Austria,AUT,1996,12243,High income,12314,2019
Austria,AUT,1997,12075,High income,12314,2019
Austria,AUT,1998,11963,High income,12314,2019
Austria,AUT,1999,11804,High income,12314,2019
Austria,AUT,2000,11646,High income,12314,2019
Austria,AUT,2001,11449,High income,12314,2019
Austria,AUT,2002,11565,High income,12314,2019
Austria,AUT,2003,11637,High income,12314,2019
Austria,AUT,2004,11535,High income,12314,2019
Austria,AUT,2005,11521,High income,12314,2019
Austria,AUT,2006,11408,High income,12314,2019
Austria,AUT,2007,11520,High income,12314,2019
Austria,AUT,2008,11560,High income,12314,2019
Austria,AUT,2009,11848,High income,12314,2019
Austria,AUT,2010,11889,High income,12314,2019
Austria,AUT,2011,11923,High income,12314,2019
Austria,AUT,2012,12059,High income,12314,2019
Austria,AUT,2013,12144,High income,12314,2019
Austria,AUT,2014,12180,High income,12314,2019
Austria,AUT,2015,12371,High income,12314,2019
Austria,AUT,2016,12282,High income,12314,2019
Austria,AUT,2017,12203,,12314,2019
Austria,AUT,2018,12172,,12314,2019
Austria,AUT,2019,12314,,12314,2019
Austria,AUT,1987,,High income,12314,2019
Austria,AUT,1988,,High income,12314,2019
Austria,AUT,1989,,High income,12314,2019
Azerbaijan,AZE,1990,6927,Upper-middle income,12497,2019
Azerbaijan,AZE,1991,7278,Lower-middle income,12497,2019
Azerbaijan,AZE,1992,7730,Lower-middle income,12497,2019
Azerbaijan,AZE,1993,8068,Lower-middle income,12497,2019
Azerbaijan,AZE,1994,8358,Low income,12497,2019
Azerbaijan,AZE,1995,8500,Low income,12497,2019
Azerbaijan,AZE,1996,8521,Low income,12497,2019
Azerbaijan,AZE,1997,8355,Low income,12497,2019
Azerbaijan,AZE,1998,8252,Low income,12497,2019
Azerbaijan,AZE,1999,8226,Low income,12497,2019
Azerbaijan,AZE,2000,8224,Low income,12497,2019
Azerbaijan,AZE,2001,8233,Low income,12497,2019
Azerbaijan,AZE,2002,8403,Low income,12497,2019
Azerbaijan,AZE,2003,8655,Lower-middle income,12497,2019
Azerbaijan,AZE,2004,8788,Lower-middle income,12497,2019
Azerbaijan,AZE,2005,9137,Lower-middle income,12497,2019
Azerbaijan,AZE,2006,9317,Lower-middle income,12497,2019
Azerbaijan,AZE,2007,9391,Lower-middle income,12497,2019
Azerbaijan,AZE,2008,9753,Lower-middle income,12497,2019
Azerbaijan,AZE,2009,9998,Upper-middle income,12497,2019
Azerbaijan,AZE,2010,10240,Upper-middle income,12497,2019
Azerbaijan,AZE,2011,10613,Upper-middle income,12497,2019
Azerbaijan,AZE,2012,10901,Upper-middle income,12497,2019
Azerbaijan,AZE,2013,11056,Upper-middle income,12497,2019
Azerbaijan,AZE,2014,11229,Upper-middle income,12497,2019
Azerbaijan,AZE,2015,11457,Upper-middle income,12497,2019
Azerbaijan,AZE,2016,11795,Upper-middle income,12497,2019
Azerbaijan,AZE,2017,12229,,12497,2019
Azerbaijan,AZE,2018,12208,,12497,2019
Azerbaijan,AZE,2019,12497,,12497,2019
Azerbaijan,AZE,1987,,Not categorized,12497,2019
Azerbaijan,AZE,1988,,Not categorized,12497,2019
Azerbaijan,AZE,1989,,Not categorized,12497,2019
Bahamas,BHS,1990,93,High income,155,2019
Bahamas,BHS,1991,92,High income,155,2019
Bahamas,BHS,1992,92,High income,155,2019
Bahamas,BHS,1993,93,High income,155,2019
Bahamas,BHS,1994,95,High income,155,2019
Bahamas,BHS,1995,96,High income,155,2019
Bahamas,BHS,1996,99,High income,155,2019
Bahamas,BHS,1997,97,High income,155,2019
Bahamas,BHS,1998,98,High income,155,2019
Bahamas,BHS,1999,102,High income,155,2019
Bahamas,BHS,2000,99,High income,155,2019
Bahamas,BHS,2001,103,High income,155,2019
Bahamas,BHS,2002,101,High income,155,2019
Bahamas,BHS,2003,101,High income,155,2019
Bahamas,BHS,2004,104,High income,155,2019
Bahamas,BHS,2005,103,High income,155,2019
Bahamas,BHS,2006,107,High income,155,2019
Bahamas,BHS,2007,107,High income,155,2019
Bahamas,BHS,2008,111,High income,155,2019
Bahamas,BHS,2009,116,High income,155,2019
Bahamas,BHS,2010,119,High income,155,2019
Bahamas,BHS,2011,122,High income,155,2019
Bahamas,BHS,2012,124,High income,155,2019
Bahamas,BHS,2013,125,High income,155,2019
Bahamas,BHS,2014,130,High income,155,2019
Bahamas,BHS,2015,136,High income,155,2019
Bahamas,BHS,2016,141,High income,155,2019
Bahamas,BHS,2017,145,,155,2019
Bahamas,BHS,2018,150,,155,2019
Bahamas,BHS,2019,155,,155,2019
Bahamas,BHS,1987,,High income,155,2019
Bahamas,BHS,1988,,High income,155,2019
Bahamas,BHS,1989,,High income,155,2019
Bahrain,BHR,1990,311,Upper-middle income,545,2019
Bahrain,BHR,1991,321,Upper-middle income,545,2019
Bahrain,BHR,1992,324,Upper-middle income,545,2019
Bahrain,BHR,1993,322,Upper-middle income,545,2019
Bahrain,BHR,1994,327,Upper-middle income,545,2019
Bahrain,BHR,1995,336,Upper-middle income,545,2019
Bahrain,BHR,1996,342,Upper-middle income,545,2019
Bahrain,BHR,1997,345,Upper-middle income,545,2019
Bahrain,BHR,1998,349,Upper-middle income,545,2019
Bahrain,BHR,1999,345,Upper-middle income,545,2019
Bahrain,BHR,2000,316,Upper-middle income,545,2019
Bahrain,BHR,2001,291,High income,545,2019
Bahrain,BHR,2002,327,High income,545,2019
Bahrain,BHR,2003,360,High income,545,2019
Bahrain,BHR,2004,363,High income,545,2019
Bahrain,BHR,2005,361,High income,545,2019
Bahrain,BHR,2006,357,High income,545,2019
Bahrain,BHR,2007,355,High income,545,2019
Bahrain,BHR,2008,356,High income,545,2019
Bahrain,BHR,2009,359,High income,545,2019
Bahrain,BHR,2010,365,High income,545,2019
Bahrain,BHR,2011,365,High income,545,2019
Bahrain,BHR,2012,364,High income,545,2019
Bahrain,BHR,2013,363,High income,545,2019
Bahrain,BHR,2014,371,High income,545,2019
Bahrain,BHR,2015,395,High income,545,2019
Bahrain,BHR,2016,421,High income,545,2019
Bahrain,BHR,2017,457,,545,2019
Bahrain,BHR,2018,497,,545,2019
Bahrain,BHR,2019,545,,545,2019
Bahrain,BHR,1987,,High income,545,2019
Bahrain,BHR,1988,,High income,545,2019
Bahrain,BHR,1989,,High income,545,2019
Bangladesh,BGD,1990,87248,Low income,105712,2019
Bangladesh,BGD,1991,80025,Low income,105712,2019
Bangladesh,BGD,1992,79353,Low income,105712,2019
Bangladesh,BGD,1993,78474,Low income,105712,2019
Bangladesh,BGD,1994,77515,Low income,105712,2019
Bangladesh,BGD,1995,78472,Low income,105712,2019
Bangladesh,BGD,1996,77380,Low income,105712,2019
Bangladesh,BGD,1997,76092,Low income,105712,2019
Bangladesh,BGD,1998,75334,Low income,105712,2019
Bangladesh,BGD,1999,74737,Low income,105712,2019
Bangladesh,BGD,2000,76854,Low income,105712,2019
Bangladesh,BGD,2001,76996,Low income,105712,2019
Bangladesh,BGD,2002,78795,Low income,105712,2019
Bangladesh,BGD,2003,81211,Low income,105712,2019
Bangladesh,BGD,2004,82303,Low income,105712,2019
Bangladesh,BGD,2005,84803,Low income,105712,2019
Bangladesh,BGD,2006,88159,Low income,105712,2019
Bangladesh,BGD,2007,89673,Low income,105712,2019
Bangladesh,BGD,2008,89227,Low income,105712,2019
Bangladesh,BGD,2009,89154,Low income,105712,2019
Bangladesh,BGD,2010,89731,Low income,105712,2019
